Time,Error,Actual Speed,Torque,Target Speed
12.1,3.38682,85.1278,141.887,88.5146
12.2,3.38213,85.1325,142.016,88.5146
12.3,3.37734,85.1373,142.142,88.5146
12.4,3.37245,85.1422,142.263,88.5146
12.5,3.36747,85.1472,142.381,88.5146
12.6,3.36241,85.1522,142.496,88.5146
12.7,3.35726,85.1574,142.608,88.5146
12.8,3.35203,85.1626,142.716,88.5146
12.9,3.34672,85.1679,142.821,88.5146
13,3.34133,85.1733,142.922,88.5146
13.1,3.33587,85.1788,143.021,88.5146
13.2,3.33033,85.1843,143.117,88.5146
13.3,3.32473,85.1899,143.21,88.5146
13.4,3.31906,85.1956,143.301,88.5146
13.5,3.31332,85.2013,143.388,88.5146
13.6,3.30753,85.2071,143.473,88.5146
13.7,3.30167,85.213,143.555,88.5146
13.8,3.29575,85.2189,143.635,88.5146
13.9,3.28978,85.2248,143.713,88.5146
14,3.28376,85.2309,143.788,88.5146
14.1,3.27768,85.2369,143.861,88.5146
14.2,3.27156,85.2431,143.931,88.5146
14.3,3.26538,85.2492,144,88.5146
14.4,3.25916,85.2555,144.066,88.5146
14.5,3.2529,85.2617,144.13,88.5146
14.6,3.24659,85.268,144.193,88.5146
14.7,3.24024,85.2744,144.253,88.5146
14.8,3.23386,85.2808,144.311,88.5146
14.9,3.22743,85.2872,144.368,88.5146
15,3.22097,85.2937,144.423,88.5146
15.1,3.21447,85.3002,144.476,88.5146
15.2,3.20794,85.3067,144.527,88.5146
15.3,3.20138,85.3132,144.577,88.5146
15.4,3.19479,85.3198,144.625,88.5146
15.5,3.18817,85.3265,144.671,88.5146
15.6,3.18152,85.3331,144.716,88.5146
15.7,3.17484,85.3398,144.76,88.5146
15.8,3.16814,85.3465,144.802,88.5146
15.9,3.16141,85.3532,144.842,88.5146
16,3.15466,85.36,144.882,88.5146
16.1,3.14789,85.3667,144.92,88.5146
16.2,3.1411,85.3735,144.956,88.5146
16.3,3.13429,85.3803,144.992,88.5146
16.4,3.12746,85.3872,145.026,88.5146
16.5,3.12061,85.394,145.059,88.5146
16.6,3.11375,85.4009,145.09,88.5146
16.7,3.10687,85.4078,145.121,88.5146
16.8,3.09998,85.4147,145.151,88.5146
16.9,3.09307,85.4216,145.179,88.5146
17,3.08615,85.4285,145.207,88.5146
17.1,3.07921,85.4354,145.233,88.5146
17.2,3.07227,85.4424,145.259,88.5146
17.3,3.06531,85.4493,145.283,88.5146
17.4,3.05835,85.4563,145.307,88.5146
17.5,3.05138,85.4633,145.33,88.5146
17.6,3.04439,85.4702,145.351,88.5146
17.7,3.0374,85.4772,145.372,88.5146
17.8,3.03041,85.4842,145.392,88.5146
17.9,3.0234,85.4912,145.412,88.5146
18,3.0164,85.4982,145.43,88.5146
18.1,3.00938,85.5052,145.448,88.5146
18.2,3.00237,85.5123,145.465,88.5146
18.3,2.99535,85.5193,145.481,88.5146
18.4,2.98832,85.5263,145.497,88.5146
18.5,2.9813,85.5333,145.512,88.5146
18.6,2.97427,85.5404,145.526,88.5146
18.7,2.96724,85.5474,145.54,88.5146
18.8,2.96021,85.5544,145.553,88.5146
18.9,2.95318,85.5614,145.565,88.5146
19,2.94615,85.5685,145.577,88.5146
19.1,2.93912,85.5755,145.588,88.5146
19.2,2.93209,85.5825,145.599,88.5146
19.3,2.92507,85.5896,145.609,88.5146
19.4,2.91804,85.5966,145.618,88.5146
19.5,2.91102,85.6036,145.627,88.5146
19.6,2.904,85.6106,145.636,88.5146
19.7,2.89698,85.6176,145.644,88.5146
19.8,2.88997,85.6247,145.651,88.5146
19.9,2.88296,85.6317,145.658,88.5146
20,2.87596,85.6387,145.665,88.5146
20.1,2.86896,85.6457,145.671,88.5146
20.2,2.86197,85.6527,145.677,88.5146
20.3,2.85498,85.6596,145.682,88.5146
20.4,2.848,85.6666,145.687,88.5146
20.5,2.84102,85.6736,145.692,88.5146
20.6,2.83405,85.6806,145.696,88.5146
20.7,2.82709,85.6875,145.7,88.5146
20.8,2.82013,85.6945,145.704,88.5146
20.9,2.81318,85.7014,145.707,88.5146
21,2.80624,85.7084,145.709,88.5146
21.1,2.79931,85.7153,145.712,88.5146
21.2,2.79238,85.7222,145.714,88.5146
21.3,2.78546,85.7292,145.716,88.5146
21.4,2.77855,85.7361,145.717,88.5146
21.5,2.77165,85.743,145.719,88.5146
21.6,2.76476,85.7499,145.72,88.5146
21.7,2.75788,85.7567,145.72,88.5146
21.8,2.75101,85.7636,145.721,88.5146
21.9,2.74414,85.7705,145.721,88.5146
22,2.73729,85.7773,145.721,88.5146
22.1,2.73045,85.7842,145.72,88.5146
22.2,2.72361,85.791,145.72,88.5146
22.3,2.71679,85.7978,145.719,88.5146
22.4,2.70998,85.8046,145.718,88.5146
22.5,2.70318,85.8115,145.717,88.5146
22.6,2.69639,85.8182,145.715,88.5146
22.7,2.68961,85.825,145.714,88.5146
22.8,2.68284,85.8318,145.712,88.5146
22.9,2.67608,85.8385,145.71,88.5146
23,2.66934,85.8453,145.708,88.5146
23.1,2.6626,85.852,145.705,88.5146
23.2,2.65588,85.8587,145.703,88.5146
23.3,2.64917,85.8655,145.7,88.5146
23.4,2.64247,85.8722,145.697,88.5146
23.5,2.63578,85.8788,145.694,88.5146
23.6,2.62911,85.8855,145.691,88.5146
23.7,2.62245,85.8922,145.687,88.5146
23.8,2.6158,85.8988,145.684,88.5146
23.9,2.60916,85.9055,145.68,88.5146
24,2.60253,85.9121,145.676,88.5146
24.1,2.59592,85.9187,145.672,88.5146
24.2,2.58932,85.9253,145.668,88.5146
24.3,2.58274,85.9319,145.664,88.5146
24.4,2.57616,85.9385,145.66,88.5146
24.5,2.5696,85.945,145.655,88.5146
24.6,2.56305,85.9516,145.651,88.5146
24.7,2.55652,85.9581,145.646,88.5146
24.8,2.55,85.9646,145.641,88.5146
24.9,2.54349,85.9711,145.636,88.5146
25,2.537,85.9776,145.631,88.5146
25.1,2.53051,85.9841,145.626,88.5146
25.2,2.52405,85.9906,145.621,88.5146
25.3,2.51759,85.997,145.616,88.5146
25.4,2.51115,86.0035,145.61,88.5146
25.5,2.50473,86.0099,145.605,88.5146
25.6,2.49831,86.0163,145.6,88.5146
25.7,2.49191,86.0227,145.594,88.5146
25.8,2.48553,86.0291,145.588,88.5146
25.9,2.47916,86.0355,145.583,88.5146
26,2.4728,86.0418,145.577,88.5146
26.1,2.46645,86.0482,145.571,88.5146
26.2,2.46012,86.0545,145.565,88.5146
26.3,2.45381,86.0608,145.559,88.5146
26.4,2.4475,86.0671,145.553,88.5146
26.5,2.44122,86.0734,145.547,88.5146
26.6,2.43494,86.0797,145.541,88.5146
26.7,2.42868,86.0859,145.534,88.5146
26.8,2.42244,86.0922,145.528,88.5146
26.9,2.4162,86.0984,145.522,88.5146
27,2.40999,86.1046,145.515,88.5146
27.1,2.40378,86.1108,145.509,88.5146
27.2,2.39759,86.117,145.503,88.5146
27.3,2.39142,86.1232,145.496,88.5146
27.4,2.38526,86.1294,145.489,88.5146
27.5,2.37911,86.1355,145.483,88.5146
27.6,2.37298,86.1416,145.476,88.5146
27.7,2.36686,86.1478,145.47,88.5146
27.8,2.36076,86.1539,145.463,88.5146
27.9,2.35467,86.16,145.456,88.5146
28,2.34859,86.166,145.449,88.5146
28.1,2.34253,86.1721,145.443,88.5146
28.2,2.33648,86.1781,145.436,88.5146
28.3,2.33045,86.1842,145.429,88.5146
28.4,2.32443,86.1902,145.422,88.5146
28.5,2.31843,86.1962,145.415,88.5146
28.6,2.31244,86.2022,145.408,88.5146
28.7,2.30646,86.2082,145.401,88.5146
28.8,2.3005,86.2141,145.394,88.5146
28.9,2.29455,86.2201,145.387,88.5146
29,2.28862,86.226,145.38,88.5146
29.1,2.2827,86.2319,145.373,88.5146
29.2,2.2768,86.2378,145.366,88.5146
29.3,2.27091,86.2437,145.359,88.5146
29.4,2.26503,86.2496,145.352,88.5146
29.5,2.25917,86.2555,145.345,88.5146
29.6,2.25333,86.2613,145.338,88.5146
29.7,2.24749,86.2671,145.331,88.5146
29.8,2.24167,86.273,145.323,88.5146
29.9,2.23587,86.2788,145.316,88.5146
30,2.23008,86.2845,145.309,88.5146
30.1,2.2243,86.2903,145.302,88.5146
30.2,2.21854,86.2961,145.295,88.5146
30.3,2.21279,86.3018,145.288,88.5146
30.4,2.20706,86.3076,145.28,88.5146
30.5,2.20134,86.3133,145.273,88.5146
30.6,2.19564,86.319,145.266,88.5146
30.7,2.18994,86.3247,145.259,88.5146
30.8,2.18427,86.3304,145.252,88.5146
30.9,2.1786,86.336,145.244,88.5146
31,2.17295,86.3417,145.237,88.5146
31.1,2.16732,86.3473,145.23,88.5146
31.2,2.1617,86.3529,145.223,88.5146
31.3,2.15609,86.3585,145.216,88.5146
31.4,2.1505,86.3641,145.208,88.5146
31.5,2.14492,86.3697,145.201,88.5146
31.6,2.13935,86.3753,145.194,88.5146
31.7,2.1338,86.3808,145.187,88.5146
31.8,2.12827,86.3864,145.179,88.5146
31.9,2.12274,86.3919,145.172,88.5146
32,2.11723,86.3974,145.165,88.5146
32.1,2.11174,86.4029,145.158,88.5146
32.2,2.10626,86.4084,145.151,88.5146
32.3,2.10079,86.4138,145.143,88.5146
32.4,2.09533,86.4193,145.136,88.5146
32.5,2.08989,86.4247,145.129,88.5146
32.6,2.08447,86.4302,145.122,88.5146
32.7,2.07905,86.4356,145.115,88.5146
32.8,2.07365,86.441,145.107,88.5146
32.9,2.06827,86.4464,145.1,88.5146
33,2.0629,86.4517,145.093,88.5146
33.1,2.05754,86.4571,145.086,88.5146
33.2,2.05219,86.4624,145.079,88.5146
33.3,2.04686,86.4678,145.072,88.5146
33.4,2.04154,86.4731,145.064,88.5146
33.5,2.03624,86.4784,145.057,88.5146
33.6,2.03095,86.4837,145.05,88.5146
33.7,2.02567,86.489,145.043,88.5146
33.8,2.02041,86.4942,145.036,88.5146
33.9,2.01515,86.4995,145.029,88.5146
34,2.00992,86.5047,145.022,88.5146
34.1,2.00469,86.5099,145.015,88.5146
34.2,1.99948,86.5151,145.008,88.5146
34.3,1.99429,86.5203,145,88.5146
34.4,1.9891,86.5255,144.993,88.5146
34.5,1.98393,86.5307,144.986,88.5146
34.6,1.97877,86.5359,144.979,88.5146
34.7,1.97363,86.541,144.972,88.5146
34.8,1.9685,86.5461,144.965,88.5146
34.9,1.96338,86.5512,144.958,88.5146
35,1.95827,86.5564,144.951,88.5146
35.1,1.95318,86.5614,144.944,88.5146
35.2,1.9481,86.5665,144.937,88.5146
35.3,1.94304,86.5716,144.93,88.5146
